domain,tld,category,severity,ip,ip_country,registered,notes
chase.bond,bond,,HIGH,,,,JPMorgan Chase impersonation
bofa.bond,bond,,HIGH,,,,Bank of America impersonation
binance.bond,bond,,HIGH,,,,Binance exchange phishing
ledger.bond,bond,,HIGH,,,,Ledger hardware wallet phishing
uniswap.bond,bond,,HIGH,,,,Uniswap drain panel
drainmebaby.bond,bond,,HIGH,,,,Explicit naming wallet drainer
ghostqrpanel.bond,bond,,HIGH,,,,QR-code drain panel
instasolana.bond,bond,,HIGH,,,,Solana wallet drainer
buyclonecards.bond,bond,,HIGH,,,,Clone credit card shop
metamask.icu,icu,,HIGH,,,,MetaMask wallet impersonation
phantom.icu,icu,,HIGH,,,,Phantom wallet impersonation
coinbase.sbs,sbs,,HIGH,,,,Coinbase credential harvester
kraken.cyou,cyou,,HIGH,,,,Kraken exchange phishing
galabet-mobileadres.icu,icu,,HIGH,,,,T-Mobile brand impersonation
grandpashabetmobile2026.icu,icu,,HIGH,,,,Confirmed by hagezi
grandpashabetmobilegir.icu,icu,,HIGH,,,,T-Mobile brand impersonation
holiganbetmobile2026.icu,icu,,HIGH,,,,T-Mobile brand impersonation
jojobetmobile2026.icu,icu,,HIGH,,,,T-Mobile brand impersonation
madridbetmobilerisim.icu,icu,,HIGH,,,,T-Mobile brand impersonation
amazon-mx.sbs,sbs,,HIGH,,,,Amazon brand impersonation
amazoon.buzz,buzz,,HIGH,,,,Amazon brand impersonation
eserviceamazonterm.sbs,sbs,,HIGH,,,,Amazon brand impersonation
tomediscovery.cyou,cyou,,HIGH,,,,Discover brand impersonation
tomediscoveryhub.cyou,cyou,,HIGH,,,,Discover brand impersonation
neobit-argentix.sbs,sbs,,HIGH,,,,Argent brand impersonation
telecomargentina.sbs,sbs,,HIGH,,,,Argent brand impersonation
tiktokglobal.buzz,buzz,,HIGH,,,,Confirmed by hagezi
vapolinstaking.cfd,cfd,,HIGH,,,,Staking Portal brand impersonation
bmo-harri.sbs,sbs,,HIGH,,,,BMO Bank brand impersonation
preparednessledger.sbs,sbs,,HIGH,,,,Confirmed by hagezi
rogerscanada.sbs,sbs,,HIGH,,,,Rogers brand impersonation
tron-twt.sbs,sbs,,HIGH,,,,TRON brand impersonation
0000550aa1.sbs,sbs,,HIGH,,,,Confirmed by hagezi
0000550aa3.sbs,sbs,,HIGH,,,,Confirmed by hagezi
0001110001110001.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00022.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0002588a10.sbs,sbs,,HIGH,,,,Confirmed by hagezi
00053.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00068.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00072.cfd,cfd,,HIGH,,,,Confirmed by hagezi
001.sbs,sbs,,HIGH,,,,Confirmed by hagezi
00122.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00130.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00139.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00223.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00248.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00363.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00382.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00399.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00414.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00485.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00491.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00613.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00690.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00716.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00718.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00725.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00743.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00744.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00770.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00830.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00834.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00842.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00920.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00926.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00955.cfd,cfd,,HIGH,,,,Confirmed by hagezi
00991.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01002.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01049.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01052.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01053.cfd,cfd,,HIGH,,,,Confirmed by hagezi
010626.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01100.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0110000101110010011000010111001101101000.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01117.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01183.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01195.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01298.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01310.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01327.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01335.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01343.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01403.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01421.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01436.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01466.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01493589.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01501.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01509.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01513.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01539.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01664.cfd,cfd,,HIGH,,,,Confirmed by hagezi
